iteration,before,after,diff
265,61934379,61935223,844
266,61935383,61936233,850
267,61936391,61937236,845
268,61937394,61938242,848
269,61938403,61939247,844
270,61939410,61940259,849
271,61940422,61941266,844
272,61941429,61942272,843
273,61942433,61943277,844
274,61943436,61944286,850
275,61944448,61945291,843
276,61945457,61946296,839
277,61946462,61947304,842
278,61947461,61948302,841
279,61948462,61949313,851
280,61949474,61950319,845
281,61950481,61951330,849
282,61951490,61952330,840
283,61952492,61953336,844
284,61953505,61954346,841
285,61954510,61955349,839
286,61955511,61956355,844
287,61956513,61957352,839
288,61957512,61958356,844
289,61958514,61959354,840
290,61959512,61960356,844
291,61960517,61961363,846
292,61961525,61962372,847
293,61962535,61963378,843
294,61963538,61964382,844
295,61964545,61965394,849
296,61965556,61966400,844
297,61966572,61967425,853
298,61967588,61968461,873
299,61968627,61970862,2235
300,61971046,61971898,852
301,61972061,61972909,848
302,61973074,61973922,848
303,61974082,61974929,847
304,61975090,61975936,846
305,61976096,61976942,846
306,61977104,61977951,847
307,61978113,61978957,844
308,61979119,61979964,845
309,61980125,61980970,845
310,61981129,61981971,842
311,61982130,61982973,843
312,61983132,61983978,846
313,61984141,61984986,845
314,61985146,61985991,845
315,61986151,61986994,843
316,61987156,61987996,840
317,61988158,61989002,844
318,61993424,61994423,999
319,61994605,61995453,848
320,61995617,61996463,846
321,61996627,61997472,845
322,61997637,61998487,850
323,61998648,61999493,845
324,61999655,62000499,844
325,62000661,62001505,844
326,62001669,62002514,845
327,62002679,62003524,845
328,62003688,62004537,849
329,62004698,62005544,846
330,62005708,62006558,850
331,62006718,62007565,847
332,62007726,62008577,851
333,62008739,62009580,841
334,62009741,62010589,848
335,62010749,62011591,842
336,62011754,62012597,843
337,62012759,62013604,845
338,62013767,62014610,843
339,62014771,62015615,844
340,62015777,62016620,843
341,62016784,62017625,841
342,62017786,62018627,841
343,62018786,62019629,843
344,62019789,62020632,843
345,62020791,62021634,843
346,62021795,62022639,844
347,62022797,62023641,844
348,62023800,62024643,843
349,62024803,62025647,844
350,62025809,62028254,2445
351,62028442,62029288,846
352,62029448,62030294,846
353,62030454,62031295,841
354,62031456,62032300,844
355,62032463,62033308,845
356,62033474,62034320,846
357,62034478,62035321,843
358,62035480,62036326,846
359,62036489,62037332,843
360,62037491,62038339,848
361,62038501,62039345,844
362,62039507,62040351,844
363,62040509,62041350,841
364,62041513,62042351,838
365,62042511,62043354,843
366,62043515,62044358,843
367,62044519,62045362,843
368,62045523,62046368,845
369,62046533,62047375,842
370,62047537,62048377,840
371,62048539,62049380,841
372,62049544,62050383,839
373,62050543,62051382,839
374,62051542,62052384,842
375,62052547,62053394,847
376,62053556,62054399,843
377,62054560,62055405,845
378,62055569,62056412,843
379,62056576,62057420,844
380,62057585,62058429,844
381,62058589,62059435,846
382,62059601,62060445,844
383,62060607,62061451,844
384,62061610,62062455,845
385,62062619,62063467,848
386,62063627,62064472,845
387,62064636,62065481,845
388,62065644,62066491,847
389,62066655,62067500,845
390,62067665,62068509,844
391,62068671,62069512,841
392,62069678,62070523,845
393,62070686,62071530,844
394,62071695,62072543,848
395,62072704,62073551,847
396,62073715,62074561,846
397,62074724,62075568,844
398,62075733,62076580,847
399,62076745,62077588,843
400,62077751,62078592,841
401,62078754,62081009,2255
402,62081188,62082032,844
403,62082193,62083040,847
404,62083199,62084040,841
405,62084208,62085049,841
406,62085209,62086050,841
407,62086210,62087053,843
408,62087215,62088060,845
409,62088220,62089061,841
410,62089223,62090067,844
411,62090228,62091071,843
412,62091233,62092079,846
413,62092244,62093089,845
414,62093252,62094096,844
415,62094259,62095102,843
416,62095264,62096108,844
417,62096268,62097112,844
418,62097272,62098118,846
419,62098280,62099125,845
420,62099284,62100129,845
421,62100291,62101137,846
422,62101299,62102144,845
423,62102305,62103149,844
424,62103313,62104158,845
425,62104319,62105167,848
426,62105328,62106170,842
427,62106331,62107176,845
428,62107336,62108182,846
429,62108341,62109188,847
430,62109346,62110190,844
431,62110352,62111194,842
432,62111354,62112197,843
433,62112355,62113196,841
434,62113356,62114199,843
435,62114357,62115198,841
436,62115358,62116202,844
437,62116365,62117206,841
438,62117367,62118207,840
439,62118369,62119209,840
440,62119371,62120212,841
441,62120372,62121215,843
442,62121373,62122214,841
443,62122376,62123218,842
444,62123380,62124222,842
445,62124385,62125228,843
446,62125395,62126237,842
447,62126403,62127247,844
448,62127411,62128257,846
449,62128423,62129267,844
450,62129430,62130275,845
451,62130440,62131284,844
452,62131450,62132325,875
453,62132488,62135989,3501
454,62136192,62137040,848
455,62137201,62138046,845
456,62138206,62139048,842
457,62139207,62140054,847
458,62140215,62141058,843
459,62141219,62142062,843
460,62142225,62143067,842
461,62143230,62144071,841
462,62144235,62145078,843
463,62145238,62146077,839
464,62146237,62147076,839
465,62147238,62148076,838
466,62148237,62149077,840
467,62149239,62150082,843
468,62150244,62151083,839
469,62151247,62152087,840
470,62152248,62153090,842
