393825840,393853725,27885
496478658,496506267,27609
599302297,599330279,27982
702960072,702988009,27937
804582871,804610502,27631
904743364,904770489,27125
11075178,11102567,27389
111212353,111242668,30315
212550651,212575091,24440
311843991,311870664,26673
412812525,412839667,27142
516517973,516544448,26475
623923879,623952584,28705
727810890,727838389,27499
830518331,830545175,26844
932867869,932894597,26728
37080821,37104272,23451
151020444,151051608,31164
258838918,258865951,27033
362825973,362853070,27097
466912154,466939149,26995
570920712,570947854,27142
676687040,676714674,27634
787041722,787069333,27611
893326302,893353564,27262
999480379,999507141,26762
103951004,103977805,26801
212136312,212164374,28062
316241008,316267808,26800
424398098,424425401,27303
529790254,529816606,26352
635990232,636017495,27263
743691807,743719385,27578
846818461,846845116,26655
954289273,954319998,30725
63113281,63140683,27402
172975680,173003097,27417
278883102,278909666,26564
386026682,386055291,28609
491690475,491717944,27469
600807648,600835693,28045
707642194,707669487,27293
814122027,814148957,26930
919309491,919336185,26694
24948455,24975319,26864
134923643,134997422,73779
244241346,244270242,28896
350500940,350528218,27278
475571852,475599462,27610
581631973,581660408,28435
688270328,688297979,27651
798831401,798859072,27671
905061235,905088761,27526
12222206,12249032,26826
121227009,121256978,29969
227177715,227205608,27893
331871858,331911934,40076
440172928,440200506,27578
544371854,544398521,26667
650064094,650091822,27728
757253493,757280405,26912
861506848,861534174,27326
971822420,971851681,29261
78329266,78356683,27417
187426359,187453737,27378
293738068,293764977,26909
398849998,398876725,26727
504307071,504333441,26370
615853500,615883462,29962
722636133,722663300,27167
827158098,827184776,26678
932314284,932341104,26820
41058103,41085342,27239
148547107,148576607,29500
257903511,257931595,28084
364795538,364822284,26746
470462764,470490299,27535
576705827,576732744,26917
684109656,684137528,27872
795015440,795042492,27052
901825814,901854914,29100
8496086,8522778,26692
115663690,115693107,29417
223708637,223736018,27381
330292747,330320292,27545
438694188,438722394,28206
542588768,542615802,27034
647392204,647419513,27309
752327568,752354441,26873
856651328,856678637,27309
968733461,968764969,31508
76759972,76788165,28193
184750116,184776988,26872
289426308,289453204,26896
394118362,394145555,27193
499731245,499758021,26776
607096885,607123852,26967
719572341,719600660,28319
829386646,829414977,28331
935516967,935544260,27293
376492441,376525606,33165
478888265,478916903,28638
578536158,578563818,27660
679775102,679803074,27972
779528381,779555680,27299
879191320,879219314,27994
984484743,984512415,27672
85309804,85337713,27909
187818311,187845588,27277
289176507,289203235,26728
406305674,406336173,30499
512776642,512808674,32032
617378508,617407563,29055
722380752,722408513,27761
823797212,823824096,26884
925717940,925745023,27083
29566518,29593269,26751
137951833,137980359,28526
244872741,244899976,27235
348208401,348235469,27068
473226926,473254209,27283
578298183,578324961,26778
684444794,684472267,27473
793627058,793654483,27425
899062383,899089361,26978
2885313,2912273,26960
108770132,108799753,29621
215013281,215041161,27880
319313214,319397437,84223
428082929,428110431,27502
536036564,536063742,27178
643430023,643457785,27762
