iteration,before,after,diff
929,9273370,9273397,27, 0
930,9273620,9273647,27, 0
931,9273871,9273898,27, 0
932,9274121,9274148,27, 0
933,9274369,9274397,28, 0
934,9274619,9274646,27, 0
935,9274868,9274895,27, 0
936,9275117,9275144,27, 0
937,9275365,9275393,28, 0
938,9275614,9275641,27, 0
939,9275863,9275891,28, 0
940,9276112,9276139,27, 0
941,9276362,9276389,27, 0
942,9276611,9276638,27, 0
943,9276859,9276887,28, 0
944,9277108,9277136,28, 0
945,9277358,9277385,27, 0
946,9277607,9277634,27, 0
947,9277856,9277883,27, 0
948,9278105,9278132,27, 0
949,9281707,9281741,34, 0
950,9281983,9282012,29, 0
951,9282242,9282270,28, 0
952,9282501,9282529,28, 0
953,9282753,9282782,29, 0
954,9283007,9283036,29, 0
955,9283258,9283284,26, 0
956,9283511,9283538,27, 0
957,9283767,9283795,28, 0
958,9284021,9284049,28, 0
959,9284273,9284301,28, 0
960,9284525,9284552,27, 0
961,9284776,9284803,27, 0
962,9285029,9285056,27, 0
963,9285280,9285307,27, 0
964,9285533,9285560,27, 0
965,9285785,9285811,26, 0
966,9286036,9286063,27, 0
967,9286286,9286314,28, 0
968,9286538,9286565,27, 0
969,9286791,9286818,27, 0
970,9287043,9287069,26, 0
971,9287294,9287322,28, 0
972,9287541,9287568,27, 0
973,9287787,9287816,29, 0
974,9288035,9288063,28, 0
975,9288286,9288313,27, 0
976,9288534,9288561,27, 0
977,9288786,9288813,27, 0
978,9289036,9289063,27, 0
979,9289288,9289316,28, 0
980,9289539,9289566,27, 0
981,9289790,9289817,27, 0
982,9290041,9290069,28, 0
983,9290292,9290319,27, 0
984,9290543,9290570,27, 0
985,9290793,9290820,27, 0
986,9291041,9291069,28, 0
987,9291291,9291318,27, 0
988,9291541,9291568,27, 0
989,9291790,9291817,27, 0
990,9292039,9292065,26, 0
991,9292288,9292314,26, 0
992,9292537,9292564,27, 0
993,9292787,9292813,26, 0
994,9293035,9293062,27, 0
995,9293284,9293311,27, 0
996,9293533,9293560,27, 0
997,9293782,9293810,28, 0
998,9294032,9294059,27, 0
999,9294282,9294309,27, 0
